"Requirement","Feature","Scenario","Verification Method"
"CA-REQ-001","Code quality and conformity","No linter violations are present","automatic"
"CA-REQ-002","Code quality and conformity","Code conforms to linting style formatters","automatic, manual code review (white box)"
"CA-REQ-003","Code quality and conformity","Type hints are used","Code review (white box)"
"CA-REQ-003","Code quality and conformity","Type security is robust","Code review (white box)"
"CA-REQ-004","Code quality and conformity","No commented (out) code is present","Code review (white box)"
"CA-REQ-002","Code quality and conformity","Static code quality scans yield no unjustified violations","automatic"
"CA-REQ-006","Code quality and conformity","Folder structure and code splitting aligns with the team's standard","Code review (white box, speak aloud)"
"CA-REQ-007","Code quality and conformity","Code complexity is kept as low as possible","Code review (white box, speak aloud)"
"CA-REQ-008","Code quality and conformity","Application memory performance is efficient","manual"
"CA-REQ-008","Code quality and conformity","Large lists of data are paginated","Manual"
"CA-REQ-009","Inline documentation","Logic is robustly documented with inline comments","Code review (white box, speak aloud)"
"CA-REQ-010","Inline documentation","API endpoints are well documented","Manual review (white box, speak aloud)"
"CA-REQ-011","Inline documentation","All functions include docstrings","Code review (white box, speak aloud)"
"CA-REQ-012","Inline documentation","Variable names are high quality","Code review (white box, speak aloud)"
"CA-REQ-013","Static security","static SAST scans result in no errors","automatic"
"CA-REQ-014","Static security","Dependency scans result in no issues","automatic"
"CA-REQ-015","OpenAPI linting conformity","Static linting against OpenAPI standards yields no errors","automatic"
"CA-REQ-016","FCA & SOX compliance","Data held is non proprietary and can be exported to other systems","code review (white box)"
"CA-REQ-017","FCA & SOX compliance","An audit trail allows clear transaction history to be viewed for at least 7 years","code review (white box), process review"
"CA-REQ-018","FCA & SOX compliance","Transaction events are logged and searchable","code review (white box)"
"CA-REQ-019","FCA & SOX compliance","Data is backed up and secure from tampering and loss","system & process review (white box)"
"CA-REQ-020","FCA & SOX compliance","Data is stored on sovereign territories within the same regulatory environment as the bank","system review (white box)"
"CA-REQ-021","FCA & SOX compliance","Security breach events are recorded and reported to SOX auditors","manual (external)"
"CA-REQ-022","FCA & SOX compliance","Controls are in place to restrict addition of new users","manual process review, code review (gray box)"
"CA-REQ-023","ISO/IEC27001 Compliance","The application passes an audit by a dedicated audit team","manual (external)"
"CA-REQ-024","ISO/IEC27001 Compliance","The responsibilities and ownership of the system are documented and understood","manual"
"CA-REQ-025","ISO/IEC27001 Compliance","All system and data locations are documented","manual"
"CA-REQ-026","ISO/IEC27001 Compliance","Data access is controlled with RBAC on the principle of least privilege","code review (gray box)"
"CA-REQ-027","ISO/IEC27001 Compliance","Data at-rest is encrypted","code review (white box)"
"CA-REQ-028","ISO/IEC27001 Compliance","All API requests are logged","code review (white box)"
"CA-REQ-029","ISO/IEC27001 Compliance","No extraneous information is exposed","code review (gray box)"
"CA-REQ-030","GDPR Compliance","No personally identifiable information is stored unless absolutely necessary","code review (white box)"
"CA-REQ-031","Database schema compatibility","Primary key columns are complex and unique strings (UUID)","code review (gray box)"
"CA-REQ-032","Database schema compatibility","Column types are compatible with Oracle data types","code review (white box)"
"CA-REQ-033","Database schema compatibility","Database actions like transactions are compatible with Oracle","code review (white box)"
"CA-REQ-034","Protected Endpoints","Unauthenticated user tries to access a protected endpoint","automatic"
"CA-REQ-034","Protected Endpoints","Authenticated user tries to access a protected endpoint","automatic"
"CA-REQ-035","login","Successful login with valid credentials","automatic"
"CA-REQ-035","login","Failed login with incorrect credentials","automatic"
"CA-REQ-035","login","Successful login as an existing user — deactivation blocks login","automatic"
"CA-REQ-036","List users","Non-admin requests are rejected","automatic"
"CA-REQ-036","List users","Admin user gets a list of all users","automatic"
"CA-REQ-036","List users","No sensitive data is returned","automatic, manual"
"CA-REQ-037","Create new user","Sign-ups missing details are rejected","automatic"
"CA-REQ-037","Create new user","Sign-ups with invalid emails are rejected","automatic"
"CA-REQ-037","Create new user","Non-admins cannot register a new user","automatic"
"CA-REQ-037","Create new user","Admin users can register another user","automatic"
"CA-REQ-037","Create new user","Two users of the same username cannot be registered","automatic"
"CA-REQ-037","Create new user","Non-complex passwords are rejected","automatic, code review"
"CA-REQ-039","get user details","A user requests their own profile details","automatic"
"CA-REQ-039","get user details","No sensitive details are returned","automatic, manual"
"CA-REQ-040","Deactivating a user","rejects non-admin requests","automatic"
"CA-REQ-040","Deactivating a user","user cannot deactivate themselves","automatic"
"CA-REQ-040","Deactivating a user","An admin deactivates a user","automatic"
"CA-REQ-041","change password","User successfully changes their password","automatic"
"CA-REQ-041","change password","User unsuccessfully changes their password","automatic"
"CA-REQ-042","Creating a new cost centre","Admin users can create a new cost centre","automatic"
"CA-REQ-042","Creating a new cost centre","Non-admins cannot create a cost centre","automatic"
"CA-REQ-043","Creating a new cost centre","Duplicate cost centre codes are rejected","automatic"
"CA-REQ-043","Creating a new cost centre","Long Cost Centre codes are not allowed","automatic"
"CA-REQ-044","Get a list of all cost centres","returns a list of all held cost centres","automatic"
