"Issue No.","Requirement","Scenario","Defect","Score","Work Estimate"
"ISSUE-001","CA-REQ-001","No linter violations are present","9 Violations found, 7 fixable with auto-fix. Overlap with other requirements such as ambiguous variable names","2","3"
"ISSUE-002","CA-REQ-002","Code conforms to standard style guides","16 files found with style violations, fixable with ruff format","2","2"
"ISSUE-003","CA-REQ-002","Code conforms to standard style guides","Various instances of scoped imports / imports not at top of file","2","3"
"ISSUE-004","CA-REQ-002","Code conforms to standard style guides","Various instances of unused imports","2","2"
"ISSUE-005","CA-REQ-002","Code conforms to standard style guides","API flow logic and data processing logic is combined. The data logic must be abstracted to a service to support clean code, test mocking via dependency injection, unit testing of data concerns vs API flow","1","5"
"ISSUE-006","CA-REQ-002","Code conforms to standard style guides","API endpoints provide data without any metadata. Standards would require the use of standard response formatters","4","8"
"ISSUE-007","CA-REQ-003","Code uses strong typing","Endpoints in `reference.py` set the user object to None despite type requiring the variable be defined","3","2"
"ISSUE-008","CA-REQ-003","Code uses strong typing","All DB interactions type their return format as a generic `dict`.","4","8"
"ISSUE-009","CA-REQ-003","Code uses strong typing","Multiple instances of API request body's being spread into a dict for database injection, potential injection attack vector","5","5"
"ISSUE-010","CA-REQ-003","Code uses strong typing","Allocation periods default their `created_by` field to an integer","4","2"
"ISSUE-011","CA-REQ-003","Code uses strong typing","Inbound request validation allows extra parameters to be sent silently","7","3"
"ISSUE-012","CA-REQ-005","No unnecessary data is exposed","Inclusion of a list users endpoint is a potential GDPR violation","7","3"
"ISSUE-013","CA-REQ-005","No unnecessary data is exposed","No controls on viewing legal entities","6","2"
"ISSUE-014","CA-REQ-005","No unnecessary data is exposed","No controls on viewing expenses","6","2"
"ISSUE-015","CA-REQ-005","No unnecessary data is exposed","No controls on viewing activities","6","2"
"ISSUE-016","CA-REQ-006","Folder structure conforms to standard","All CRUD endpoints for Cost Centres, Legal Entities, Allocation Periods, and Activities are contained in a single resource file with an ambiguous name","2","3"
"ISSUE-017","CA-REQ-006","Folder structure conforms to standard","No meaningful folder structure beyond `routers` used","2","3"
"ISSUE-018","CA-REQ-006","Folder structure conforms to standard","Config file, DB abstraction, entry point, seeds and auth all listed next to one another","2","3"
"ISSUE-019","CA-REQ-006","Folder structure conforms to standard","No clear entry point specified","1","2"
"ISSUE-020","CA-REQ-007","Code complexity is low","No password complexity is enforced","7","5"
"ISSUE-021","CA-REQ-009","Code logic is robustly documented with inline comments","Majority of API handling logic is uncommented","3","13"
"ISSUE-022","CA-REQ-009","Code logic is robustly documented with inline comments","Non-standard block comments are used even for single functions","1","3"
"ISSUE-023","CA-REQ-009","Code logic is robustly documented with inline comments","Pydantic request-response models do not have class dosctrings","2","8"
"ISSUE-024","CA-REQ-009","Code logic is robustly documented with inline comments","May comments use invalid ASCII characters (most commonly em-dashes)","1","13"
"ISSUE-025","CA-REQ-009","Code logic is robustly documented with inline comments","Comment in main.py references a hard-coded localhost URL and port number","1","3"
"ISSUE-026","CA-REQ-010","API endpoints are well documented","FastAPI description uses inconsistent whitespace, references seed data, reveals internal logic, uses non ASCII characters.","6","3"
"ISSUE-027","CA-REQ-010","API endpoints are well documented","Endpoint descriptions are minimal and insufficient","3","13"
"ISSUE-028","CA-REQ-011","All functions include docstrings","Multiple instances of functions missing docstrings","2","8"
"ISSUE-029","CA-REQ-011","All functions include docstrings","Multiple instances of function docstrings not including arguments","2","8"
"ISSUE-030","CA-REQ-012","Variable names are high quality","Function `list_periods` reuses name 'status' from a top-level import","3","1"
"ISSUE-031","CA-REQ-012","Variable names are high quality","API uses snake-case variable names instead of camel-case","4","13"
"ISSUE-032","CA-REQ-012","Variable names are high quality","Use of a generic open-period checker function with a default raise condition is ambiguous due to unclear name and usage","4","13"
"ISSUE-033","CA-REQ-012","Variable names are high quality","Multiple instances of single-letter variable names","2","5"
"ISSUE-034","CA-REQ-012","Variable names are high quality","Multiple instances of generic variable names like `row`, and `rid` (row ID)","2","3"
"ISSUE-035","CA-REQ-012","Variable names are high quality","Generic class names such as the singleton class `Settings`, app may use multiple config classes in the future as per other projects","2","5"
"ISSUE-036","CA-REQ-014","Dependency scans are passed","Starlette test client is using `httpx` which is deprecated, `httpx2` is required","5","3"
"ISSUE-037","CA-REQ-014","Dependency scans are passed","Pytest version is using deprecated `asyncio.get_event_loop_policy` slated for removal in Python 3.16","5","3"
"ISSUE-038","CA-REQ-014","Dependency scans are passed","Static scanning with Safety yielded 23 package vulnerabilities, ignored 13 dues to policy, and suggested three fixes to resolve the remainder","5","5"
"ISSUE-039","CA-REQ-014","Dependency scans are passed","`jose/jwt` is using deprecated `datetime.datetime.utcnow()`","5","3"
"ISSUE-040","CA-REQ-014","Dependency scans are passed","Static scanning with pip-audit yielded 14 vulnerabilities across 5 packages","5","5"
"ISSUE-041","CA-REQ-015","Static linting against OpenAPI standards yields no errors","Only some endpoints explicitly list a default response status code","3","13"
"ISSUE-042","CA-REQ-015","Static linting against OpenAPI standards yields no errors","All endpoints are missing the "description" field (reported 57 times)","2","13"
"ISSUE-043","CA-REQ-015","Static linting against OpenAPI standards yields no errors","Tags used are not defined in the global scope (reported 59 times)","2","2"
