"Code","Feature","Requirement","Description"
"CA-REQ-001","Code quality and conformity","Code has no linting errors","''"
"CA-REQ-002","Code quality and conformity","Code conforms to standard style guides","''"
"CA-REQ-003","Code quality and conformity","Code uses strong typing","''"
"CA-REQ-004","Code quality and conformity","No commented code is used","''"
"CA-REQ-005","Security","No unnecessary data is exposed","Ensure no endpoints are themselves extraneous or deliver information that is not essential, e.g. done just to satisfy REST design principles."
"CA-REQ-006","Code quality and conformity","Folder structure conforms to standard","''"
"CA-REQ-007","Code quality and conformity","Code complexity is low","''"
"CA-REQ-008","Code quality and conformity","Resource utilisation is minimal","''"
"CA-REQ-009","Inline documentation","Code logic is robustly documented with inline comments","''"
"CA-REQ-010","Inline documentation","API endpoints are well documented","''"
"CA-REQ-011","Inline documentation","All functions include docstrings","''"
"CA-REQ-012","Inline documentation","Variable names are high quality","''"
"CA-REQ-013","Static security","Static security scans are passed","''"
"CA-REQ-014","Static security","Dependency scans are passed","''"
"CA-REQ-015","OpenAPI linting conformity","Static linting against OpenAPI standards yields no errors","''"
"CA-REQ-016","FCA & SOX compliance","Data held is non proprietary and can be exported to other systems","''"
"CA-REQ-017","FCA & SOX compliance","An audit trail allows clear transaction history to be viewed for at least 7 years","''"
"CA-REQ-018","FCA & SOX compliance","Transaction events are logged and searchable","''"
"CA-REQ-019","FCA & SOX compliance","Data is backed up and secure from tampering and loss","''"
"CA-REQ-020","FCA & SOX compliance","Data is stored on sovereign territories within the same regulatory environment as the bank","''"
"CA-REQ-021","FCA & SOX compliance","Security breach events are recorded and reported to SOX auditors","''"
"CA-REQ-022","FCA & SOX compliance","Controls are in place to restrict addition of new users","''"
"CA-REQ-023","ISO/IEC27001 Compliance","The application passes an audit by a dedicated audit team","''"
"CA-REQ-024","ISO/IEC27001 Compliance","The responsibilities and ownership of the system are documented and understood","''"
"CA-REQ-025","ISO/IEC27001 Compliance","All system and data locations are documented","''"
"CA-REQ-026","ISO/IEC27001 Compliance","Data access is controlled with RBAC on the principle of least privilege","''"
"CA-REQ-027","ISO/IEC27001 Compliance","Data at-rest is encrypted","''"
"CA-REQ-028","ISO/IEC27001 Compliance","All API requests are logged","''"
"CA-REQ-029","ISO/IEC27001 Compliance","No extraneous information is exposed","''"
"CA-REQ-030","GDPR Compliance","No personally identifiable information is stored unless absolutely necessary","''"
"CA-REQ-031","Database schema compatibility","Primary key columns are complex and unique strings (UUID)","''"
"CA-REQ-032","Database schema compatibility","Column types are compatible with Oracle data types","''"
"CA-REQ-033","Database schema compatibility","Database actions like transactions are compatible with Oracle","''"
"CA-REQ-034","Authentication","All main endpoints are protected and require valid authentication to access","''"
"CA-REQ-035","Authentication","Users can login and gain an access token with a valid username/password unless their account is deactivated","''"
"CA-REQ-036","Authentication","Admin users can request a list of all users with non-sensitive details","''"
"CA-REQ-037","Authentication","Admin users can register another user and assign a role","''"
"CA-REQ-038","Authentication","A baseline level of password complexity is enforced","''"
"CA-REQ-039","Authentication","User can request their own non-sensitive profile details","''"
"CA-REQ-040","Authentication","Admins can deactivate a user, revoking their access","''"
"CA-REQ-041","Authentication","Users can change their password by supplying their old and new password","''"
"CA-REQ-042","Cost Centres","Admin users can create a new cost centre","''"
"CA-REQ-043","Cost Centres","Cost Centre codes are unique, identifiable and contained to 20 characters","''"
"CA-REQ-044","Cost Centres","Users can request a list of all cost centres","''"
